datetime,PM2.5_ALEXANDRIA,PM2.5_COOK_AND_PHILLIP,PM2.5_EARLWOOD,PM2.5_LIDCOMBE,PM2.5_MACQUARIE_PARK,PM2.5_RANDWICK,PM2.5_ROZELLE,PM2.5_ULTIMO_UTS,forecast_hours
2026-05-12 07:00:00+10:00,8.148,3.92061630833813,3.52953320064132,5.309,-1.284,8.715918428659576,5.509106070654143,7.462,-11
2026-05-12 08:00:00+10:00,9.980969082133512,5.982011506022035,3.7463736842441695,3.8407477217716455,2.755182512989676,6.870108391763655,3.2499488038565687,9.359407940639876,-10
2026-05-12 09:00:00+10:00,10.165892770807885,6.124317098369301,3.7463736842441695,3.6561054706957634,2.755182512989676,5.587130409375184,3.8235467513217847,11.383251177376204,-9
2026-05-12 10:00:00+10:00,10.165892770807885,6.124317098369301,3.7463736842441695,3.796112589458031,4.510312931015223,2.6183971059220816,4.090089357502855,11.252750050620325,-8
2026-05-12 11:00:00+10:00,10.165892770807885,4.728977230017107,3.7463736842441695,2.5528331921943863,4.510312931015223,1.2100646925112095,4.055231453407973,13.57195087339504,-7
2026-05-12 12:00:00+10:00,10.564559244970864,6.124317098369301,3.342573940064532,2.3038751586213317,-0.2001815753813949,1.9364534064806491,4.635665378470801,13.40436621775812,-6
2026-05-12 13:00:00+10:00,10.165892770807885,5.705611210067346,3.342573940064532,2.436618464906564,-0.2001815753813949,1.9364534064806491,3.8919391298413366,13.515142104963886,-5
2026-05-12 14:00:00+10:00,8.22521276976692,4.310271341715152,3.342573940064532,1.7102138050182552,-0.2001815753813949,2.152645872139499,3.6528938849047776,13.645643231719763,-4
2026-05-12 15:00:00+10:00,8.22521276976692,4.310271341715152,3.4450142327031474,3.594386829266396,-0.2001815753813949,1.7515449224350863,3.6528938849047776,13.645643231719763,-3
2026-05-12 16:00:00+10:00,8.95026046531259,4.310271341715152,4.41332465889558,3.594386829266396,-1.95531199340694,1.2100646925112095,3.921022702795276,11.396276368939596,-2
2026-05-12 17:00:00+10:00,8.95026046531259,5.38708742931578,4.41332465889558,2.686011323696678,-0.2001815753813949,1.2100646925112095,3.681977457858717,11.396276368939596,-1
2026-05-12 18:00:00+10:00,4.773275123840372,4.310271341715152,4.41332465889558,3.64370678661163,-0.2001815753813949,1.621238895111731,3.681977457858717,11.396276368939596,0
2026-05-12 19:00:00+10:00,6.047051906585693,8.354927062988281,8.694778442382812,5.499680042266846,8.84518051147461,6.449264049530029,5.093395709991455,7.97270393371582,1
2026-05-12 20:00:00+10:00,5.330427169799805,7.338088035583496,7.71230411529541,4.558772087097168,7.391824245452881,6.146247386932373,3.8936595916748047,7.459319114685059,2
2026-05-12 21:00:00+10:00,4.32440185546875,6.701188564300537,6.820423126220703,3.7745659351348877,4.794137001037598,5.555046081542969,2.0827584266662598,7.072854518890381,3
2026-05-12 22:00:00+10:00,4.782352924346924,7.0761590003967285,7.259022235870361,4.397975444793701,4.757106304168701,5.865498065948486,3.309199810028076,6.94195556640625,4
2026-05-12 23:00:00+10:00,5.053962230682373,6.903885364532471,7.585461616516113,4.8822431564331055,3.530660390853882,5.718169689178467,3.674614906311035,7.599756240844727,5
2026-05-13 00:00:00+10:00,4.9741621017456055,6.8447265625,7.290464878082275,4.889761924743652,2.9681077003479004,5.789154052734375,2.668109655380249,7.479574680328369,6
2026-05-13 01:00:00+10:00,4.6712565422058105,5.969880104064941,7.349810600280762,4.145598888397217,2.033205032348633,6.116099834442139,2.4317009449005127,7.360569477081299,7
2026-05-13 02:00:00+10:00,4.951639652252197,5.699023246765137,7.916163444519043,3.0528323650360107,3.218470335006714,5.7982096672058105,3.3941967487335205,8.044651985168457,8
2026-05-13 03:00:00+10:00,5.581252098083496,7.32606840133667,8.944856643676758,3.5663578510284424,6.034123420715332,5.450530052185059,5.359866142272949,8.374850273132324,9

Stations,MAE,RMSE,MAPE,PEARSON_R,R_SQUARE,MEAN_FC,MEAN_OBS,STD_FC,STD_OBS,MBE
ALEXANDRIA,2.982,3.735,92.867,0.62,0.338,6.31,7.177,3.324,4.592,9.673
COOK_AND_PHILLIP,3.813,5.183,63.801,0.307,0.051,8.891,7.784,1.736,5.32,9.751
EARLWOOD,3.441,4.491,54.259,0.589,0.255,9.188,7.684,2.574,5.202,10.647
LIDCOMBE,1.835,2.306,107.616,0.791,0.616,6.798,7.158,2.991,3.722,4.023
MACQUARIE_PARK,4.906,6.091,-97.212,0.587,0.191,9.966,7.349,4.39,6.773,14.398
RANDWICK,2.278,3.002,141.433,0.76,0.522,6.681,6.478,2.295,4.343,5.515
ROZELLE,3.152,4.02,56.563,0.767,0.485,7.852,8.153,6.062,5.605,10.867
ULTIMO_UTS,3.21,4.273,61.595,0.53,0.255,8.576,9.251,2.201,4.949,8.864
